t_ms,condition,mode,band,f_lo,f_hi,energyN,threshold,hysteresis,cooldown_ms
65390,baseline,FILE,0,0.00,200.00,0.022917,9.000,1.500,120
66379,baseline,FILE,0,0.00,200.00,0.002398,9.000,1.500,120
67344,baseline,FILE,0,0.00,200.00,0.022004,9.000,1.500,120
67861,baseline,FILE,2,800.00,3000.00,0.276466,4.000,1.100,120
70608,baseline,FILE,1,200.00,800.00,0.799317,52.407,1.150,120
70608,baseline,FILE,4,8000.00,20000.00,0.676814,7.618,1.150,120
71675,baseline,FILE,1,200.00,800.00,0.005563,52.407,1.150,120
71676,baseline,FILE,2,800.00,3000.00,0.065235,49.686,1.150,120
71676,baseline,FILE,4,8000.00,20000.00,0.037346,7.618,1.150,120
71792,baseline,FILE,3,3000.00,8000.00,0.043972,29.404,1.150,120
72043,baseline,FILE,0,0.00,200.00,0.060722,8.565,1.150,120
72043,baseline,FILE,1,200.00,800.00,0.070379,52.407,1.150,120
72043,baseline,FILE,2,800.00,3000.00,0.403606,49.686,1.150,120
72043,baseline,FILE,3,3000.00,8000.00,0.212748,29.404,1.150,120
72092,baseline,FILE,4,8000.00,20000.00,0.070913,7.618,1.150,120
72258,baseline,FILE,2,800.00,3000.00,0.234419,49.686,1.150,120
72309,baseline,FILE,3,3000.00,8000.00,0.138779,29.404,1.150,120
72457,baseline,FILE,2,800.00,3000.00,0.088546,49.686,1.150,120
72457,baseline,FILE,3,3000.00,8000.00,0.099354,29.404,1.150,120
72575,baseline,FILE,4,8000.00,20000.00,0.005332,7.618,1.150,120
72625,baseline,FILE,1,200.00,800.00,0.065455,52.407,1.150,120
72675,baseline,FILE,0,0.00,200.00,0.023714,8.565,1.150,120
72891,baseline,FILE,4,8000.00,20000.00,0.058476,7.618,1.150,120
72942,baseline,FILE,0,0.00,200.00,0.006673,8.565,1.150,120
72942,baseline,FILE,1,200.00,800.00,0.209139,52.407,1.150,120
72942,baseline,FILE,2,800.00,3000.00,0.050918,49.686,1.150,120
72943,baseline,FILE,3,3000.00,8000.00,0.056584,29.404,1.150,120
73091,baseline,FILE,0,0.00,200.00,0.007080,8.565,1.150,120
73408,baseline,FILE,4,8000.00,20000.00,0.057656,7.618,1.150,120
73459,baseline,FILE,1,200.00,800.00,0.015169,52.407,1.150,120
73558,baseline,FILE,0,0.00,200.00,0.008736,8.565,1.150,120
73558,baseline,FILE,4,8000.00,20000.00,0.056730,7.618,1.150,120
73608,baseline,FILE,2,800.00,3000.00,0.023032,49.686,1.150,120
73725,baseline,FILE,3,3000.00,8000.00,0.012065,29.404,1.150,120
73725,baseline,FILE,4,8000.00,20000.00,0.053320,7.618,1.150,120
73859,baseline,FILE,3,3000.00,8000.00,0.009534,29.404,1.150,120
74198,baseline,FILE,0,0.00,200.00,0.000945,8.565,1.150,120
75072,baseline,FILE,1,200.00,800.00,0.027457,52.407,1.150,120
