t_ms,condition,mode,band,f_lo,f_hi,energyN,threshold,hysteresis,cooldown_ms
154952,baseline,FILE,0,0.00,200.00,0.000490,9.000,1.500,120
156819,baseline,FILE,0,0.00,200.00,0.098039,9.000,1.500,120
159515,baseline,FILE,4,8000.00,20000.00,0.014780,8.259,1.150,120
159647,baseline,FILE,4,8000.00,20000.00,0.064128,8.259,1.150,120
159681,baseline,FILE,0,0.00,200.00,0.037821,11.597,1.150,120
159681,baseline,FILE,2,800.00,3000.00,0.023291,47.888,1.150,120
159681,baseline,FILE,3,3000.00,8000.00,0.148644,23.444,1.150,120
159881,baseline,FILE,4,8000.00,20000.00,0.074409,8.259,1.150,120
160147,baseline,FILE,1,200.00,800.00,0.022585,65.899,1.150,120
160397,baseline,FILE,4,8000.00,20000.00,0.005838,8.259,1.150,120
160531,baseline,FILE,4,8000.00,20000.00,0.030982,8.259,1.150,120
160548,baseline,FILE,3,3000.00,8000.00,0.009836,23.444,1.150,120
160566,baseline,FILE,2,800.00,3000.00,0.013848,47.888,1.150,120
160664,baseline,FILE,1,200.00,800.00,0.006788,65.899,1.150,120
160683,baseline,FILE,3,3000.00,8000.00,0.143804,23.444,1.150,120
160714,baseline,FILE,4,8000.00,20000.00,0.032031,8.259,1.150,120
160815,baseline,FILE,1,200.00,800.00,0.012673,65.899,1.150,120
161531,baseline,FILE,2,800.00,3000.00,0.002925,47.888,1.150,120
161531,baseline,FILE,3,3000.00,8000.00,0.051233,23.444,1.150,120
161748,baseline,FILE,2,800.00,3000.00,0.033893,47.888,1.150,120
161748,baseline,FILE,3,3000.00,8000.00,0.114625,23.444,1.150,120
161748,baseline,FILE,4,8000.00,20000.00,0.054854,8.259,1.150,120
161799,baseline,FILE,1,200.00,800.00,0.016181,65.899,1.150,120
161881,baseline,FILE,4,8000.00,20000.00,0.051679,8.259,1.150,120
162581,baseline,FILE,2,800.00,3000.00,0.051544,47.888,1.150,120
162581,baseline,FILE,3,3000.00,8000.00,0.042389,23.444,1.150,120
162682,baseline,FILE,0,0.00,200.00,0.008744,11.597,1.150,120
163833,baseline,FILE,2,800.00,3000.00,0.232704,47.888,1.150,120
163833,baseline,FILE,3,3000.00,8000.00,0.178840,23.444,1.150,120
163933,baseline,FILE,4,8000.00,20000.00,0.053128,8.259,1.150,120
164031,baseline,FILE,2,800.00,3000.00,0.546931,47.888,1.150,120
164066,baseline,FILE,4,8000.00,20000.00,0.044094,8.259,1.150,120
164197,baseline,FILE,4,8000.00,20000.00,0.153566,8.259,1.150,120
164549,baseline,FILE,3,3000.00,8000.00,0.062119,23.444,1.150,120
165230,baseline,FILE,2,800.00,3000.00,0.166608,47.888,1.150,120
165230,baseline,FILE,3,3000.00,8000.00,0.172710,23.444,1.150,120
165848,baseline,FILE,2,800.00,3000.00,0.009346,47.888,1.150,120
165848,baseline,FILE,4,8000.00,20000.00,0.025229,8.259,1.150,120
166316,baseline,FILE,2,800.00,3000.00,0.001270,47.888,1.150,120
166949,baseline,FILE,2,800.00,3000.00,0.072680,47.888,1.150,120
166949,baseline,FILE,4,8000.00,20000.00,0.024083,8.259,1.150,120
167049,baseline,FILE,3,3000.00,8000.00,0.089038,23.444,1.150,120
167314,baseline,FILE,0,0.00,200.00,0.009985,11.597,1.150,120
167314,baseline,FILE,1,200.00,800.00,0.024245,65.899,1.150,120
167315,baseline,FILE,2,800.00,3000.00,0.404190,47.888,1.150,120
167315,baseline,FILE,3,3000.00,8000.00,0.304161,23.444,1.150,120
167364,baseline,FILE,4,8000.00,20000.00,0.053029,8.259,1.150,120
167514,baseline,FILE,2,800.00,3000.00,0.258327,47.888,1.150,120
167515,baseline,FILE,3,3000.00,8000.00,0.165829,23.444,1.150,120
167732,baseline,FILE,2,800.00,3000.00,0.090324,47.888,1.150,120
167883,baseline,FILE,1,200.00,800.00,0.024602,65.899,1.150,120
167883,baseline,FILE,4,8000.00,20000.00,0.066164,8.259,1.150,120
168149,baseline,FILE,4,8000.00,20000.00,0.052069,8.259,1.150,120
168199,baseline,FILE,1,200.00,800.00,0.136090,65.899,1.150,120
168199,baseline,FILE,2,800.00,3000.00,0.055695,47.888,1.150,120
168199,baseline,FILE,3,3000.00,8000.00,0.112504,23.444,1.150,120
168400,baseline,FILE,2,800.00,3000.00,0.111687,47.888,1.150,120
168666,baseline,FILE,3,3000.00,8000.00,0.069846,23.444,1.150,120
168696,baseline,FILE,4,8000.00,20000.00,0.041177,8.259,1.150,120
168872,baseline,FILE,2,800.00,3000.00,0.030224,47.888,1.150,120
168872,baseline,FILE,3,3000.00,8000.00,0.016538,23.444,1.150,120
168872,baseline,FILE,4,8000.00,20000.00,0.033792,8.259,1.150,120
169007,baseline,FILE,4,8000.00,20000.00,0.021673,8.259,1.150,120
170391,baseline,FILE,2,800.00,3000.00,0.000161,47.888,1.150,120
170391,baseline,FILE,3,3000.00,8000.00,0.061281,23.444,1.150,120
170391,baseline,FILE,4,8000.00,20000.00,0.000178,8.259,1.150,120
170439,baseline,FILE,1,200.00,800.00,0.008475,65.899,1.150,120
170540,baseline,FILE,0,0.00,200.00,0.044657,11.597,1.150,120
170757,baseline,FILE,4,8000.00,20000.00,0.065750,8.259,1.150,120
170908,baseline,FILE,1,200.00,800.00,0.001991,65.899,1.150,120
171058,baseline,FILE,4,8000.00,20000.00,0.037386,8.259,1.150,120
171323,baseline,FILE,2,800.00,3000.00,0.038366,47.888,1.150,120
171372,baseline,FILE,0,0.00,200.00,0.400035,11.597,1.150,120
171372,baseline,FILE,1,200.00,800.00,0.027187,65.899,1.150,120
171372,baseline,FILE,4,8000.00,20000.00,0.031437,8.259,1.150,120
171523,baseline,FILE,4,8000.00,20000.00,0.143736,8.259,1.150,120
171790,baseline,FILE,4,8000.00,20000.00,0.031038,8.259,1.150,120
171891,baseline,FILE,2,800.00,3000.00,0.129958,47.888,1.150,120
172239,baseline,FILE,2,800.00,3000.00,0.120035,47.888,1.150,120
172306,baseline,FILE,1,200.00,800.00,0.007686,65.899,1.150,120
172307,baseline,FILE,4,8000.00,20000.00,0.122406,8.259,1.150,120
172406,baseline,FILE,0,0.00,200.00,0.092634,11.597,1.150,120
172457,baseline,FILE,1,200.00,800.00,0.005588,65.899,1.150,120
172458,baseline,FILE,4,8000.00,20000.00,0.191928,8.259,1.150,120
172609,baseline,FILE,4,8000.00,20000.00,0.128307,8.259,1.150,120
173024,baseline,FILE,4,8000.00,20000.00,0.149316,8.259,1.150,120
173290,baseline,FILE,1,200.00,800.00,0.070436,65.899,1.150,120
173342,baseline,FILE,2,800.00,3000.00,0.046603,47.888,1.150,120
173342,baseline,FILE,4,8000.00,20000.00,0.107161,8.259,1.150,120
173474,baseline,FILE,4,8000.00,20000.00,0.382394,8.259,1.150,120
173656,baseline,FILE,0,0.00,200.00,0.152078,11.597,1.150,120
173923,baseline,FILE,4,8000.00,20000.00,0.099032,8.259,1.150,120
174590,baseline,FILE,0,0.00,200.00,0.525369,11.597,1.150,120
174590,baseline,FILE,1,200.00,800.00,0.123903,65.899,1.150,120
174590,baseline,FILE,4,8000.00,20000.00,0.088972,8.259,1.150,120
174708,baseline,FILE,2,800.00,3000.00,0.051714,47.888,1.150,120
174858,baseline,FILE,4,8000.00,20000.00,0.223512,8.259,1.150,120
174973,baseline,FILE,0,0.00,200.00,0.183267,11.597,1.150,120
175126,baseline,FILE,0,0.00,200.00,0.214414,11.597,1.150,120
175276,baseline,FILE,4,8000.00,20000.00,0.288088,8.259,1.150,120
176058,baseline,FILE,2,800.00,3000.00,0.043191,47.888,1.150,120
177258,baseline,FILE,4,8000.00,20000.00,0.230034,8.259,1.150,120
177508,baseline,FILE,4,8000.00,20000.00,0.062888,8.259,1.150,120
177923,baseline,FILE,4,8000.00,20000.00,0.233457,8.259,1.150,120
178056,baseline,FILE,4,8000.00,20000.00,0.080477,8.259,1.150,120
178558,baseline,FILE,4,8000.00,20000.00,0.487986,8.259,1.150,120
178758,baseline,FILE,4,8000.00,20000.00,0.162385,8.259,1.150,120
179025,baseline,FILE,4,8000.00,20000.00,0.108000,8.259,1.150,120
179173,baseline,FILE,4,8000.00,20000.00,0.151751,8.259,1.150,120
179690,baseline,FILE,4,8000.00,20000.00,0.426592,8.259,1.150,120
180276,baseline,FILE,4,8000.00,20000.00,0.628491,8.259,1.150,120
181139,baseline,FILE,4,8000.00,20000.00,0.231263,8.259,1.150,120
182091,baseline,FILE,4,8000.00,20000.00,0.168413,8.259,1.150,120
