t_ms,condition,mode,band,f_lo,f_hi,energyN,threshold,hysteresis,cooldown_ms
60746,baseline,FILE,2,800.00,3000.00,0.141499,57.339,1.150,120
61114,baseline,FILE,4,8000.00,20000.00,0.243660,9.749,1.150,120
61379,baseline,FILE,4,8000.00,20000.00,0.236825,9.749,1.150,120
61529,baseline,FILE,4,8000.00,20000.00,0.230489,9.749,1.150,120
61745,baseline,FILE,4,8000.00,20000.00,0.430742,9.749,1.150,120
61945,baseline,FILE,4,8000.00,20000.00,0.131857,9.749,1.150,120
62245,baseline,FILE,4,8000.00,20000.00,0.216290,9.749,1.150,120
62663,baseline,FILE,4,8000.00,20000.00,0.064680,9.749,1.150,120
62981,baseline,FILE,4,8000.00,20000.00,0.255106,9.749,1.150,120
63195,baseline,FILE,4,8000.00,20000.00,0.379695,9.749,1.150,120
63396,baseline,FILE,4,8000.00,20000.00,0.108176,9.749,1.150,120
63563,baseline,FILE,4,8000.00,20000.00,0.052673,9.749,1.150,120
63697,baseline,FILE,4,8000.00,20000.00,0.061970,9.749,1.150,120
63931,baseline,FILE,4,8000.00,20000.00,0.248045,9.749,1.150,120
64297,baseline,FILE,4,8000.00,20000.00,0.418371,9.749,1.150,120
64913,baseline,FILE,4,8000.00,20000.00,0.553762,9.749,1.150,120
65796,baseline,FILE,4,8000.00,20000.00,0.143188,9.749,1.150,120
66746,baseline,FILE,4,8000.00,20000.00,0.105546,9.749,1.150,120
67046,baseline,FILE,4,8000.00,20000.00,0.488060,9.749,1.150,120
67247,baseline,FILE,4,8000.00,20000.00,0.420272,9.749,1.150,120
67713,baseline,FILE,4,8000.00,20000.00,0.149207,9.749,1.150,120
68446,baseline,FILE,1,200.00,800.00,0.062970,117.551,1.150,120
68446,baseline,FILE,2,800.00,3000.00,0.057827,57.339,1.150,120
68446,baseline,FILE,4,8000.00,20000.00,0.099432,9.749,1.150,120
68747,baseline,FILE,4,8000.00,20000.00,0.366404,9.749,1.150,120
69214,baseline,FILE,1,200.00,800.00,0.119643,117.551,1.150,120
69531,baseline,FILE,1,200.00,800.00,0.082360,117.551,1.150,120
69651,MARK,mark-3
69747,baseline,FILE,0,0.00,200.00,0.282881,9.703,1.150,120
69798,baseline,FILE,4,8000.00,20000.00,0.059208,9.749,1.150,120
69848,baseline,FILE,1,200.00,800.00,0.007460,117.551,1.150,120
69848,baseline,FILE,2,800.00,3000.00,0.022243,63.073,1.150,120
70115,baseline,FILE,4,8000.00,20000.00,0.052593,9.749,1.150,120
70164,baseline,FILE,1,200.00,800.00,0.142359,117.551,1.150,120
70314,baseline,FILE,4,8000.00,20000.00,0.300609,9.749,1.150,120
70463,baseline,FILE,4,8000.00,20000.00,0.094141,9.749,1.150,120
70515,baseline,FILE,1,200.00,800.00,0.047007,117.551,1.150,120
70563,baseline,FILE,2,800.00,3000.00,0.024813,69.381,1.150,120
70730,baseline,FILE,4,8000.00,20000.00,0.542082,9.749,1.150,120
70780,baseline,FILE,1,200.00,800.00,0.068689,117.551,1.150,120
71197,baseline,FILE,0,0.00,200.00,0.429860,9.703,1.150,120
71197,baseline,FILE,3,3000.00,8000.00,0.103787,26.532,1.150,120
71198,baseline,FILE,4,8000.00,20000.00,0.063483,9.749,1.150,120
71463,baseline,FILE,1,200.00,800.00,0.036860,117.551,1.150,120
71463,baseline,FILE,2,800.00,3000.00,0.009169,68.687,1.150,120
71515,baseline,FILE,4,8000.00,20000.00,0.131566,9.749,1.150,120
72014,baseline,FILE,3,3000.00,8000.00,0.058376,26.532,1.150,120
72615,baseline,FILE,3,3000.00,8000.00,0.013481,26.532,1.150,120
72832,baseline,FILE,3,3000.00,8000.00,0.013346,26.532,1.150,120
75597,baseline,FILE,0,0.00,200.00,0.081720,9.703,1.150,120
75647,baseline,FILE,3,3000.00,8000.00,0.004035,26.532,1.150,120
75699,baseline,FILE,1,200.00,800.00,0.049938,117.551,1.150,120
75699,baseline,FILE,2,800.00,3000.00,0.112852,26.611,1.150,120
75699,baseline,FILE,4,8000.00,20000.00,0.275850,9.749,1.150,120
76115,baseline,FILE,4,8000.00,20000.00,0.141023,9.749,1.150,120
76414,baseline,FILE,4,8000.00,20000.00,0.025521,9.749,1.150,120
76732,baseline,FILE,1,200.00,800.00,0.015453,117.551,1.150,120
76950,baseline,FILE,4,8000.00,20000.00,0.142822,9.749,1.150,120
77149,baseline,FILE,4,8000.00,20000.00,0.170674,9.749,1.150,120
77415,baseline,FILE,1,200.00,800.00,0.084376,117.551,1.150,120
77415,baseline,FILE,4,8000.00,20000.00,0.127009,9.749,1.150,120
77732,baseline,FILE,4,8000.00,20000.00,0.139984,9.749,1.150,120
78034,baseline,FILE,4,8000.00,20000.00,0.070610,9.749,1.150,120
78249,baseline,FILE,4,8000.00,20000.00,0.420932,9.749,1.150,120
78398,baseline,FILE,1,200.00,800.00,0.002518,117.551,1.150,120
78514,baseline,FILE,3,3000.00,8000.00,0.148928,26.532,1.150,120
78565,baseline,FILE,4,8000.00,20000.00,0.285865,9.749,1.150,120
78716,baseline,FILE,1,200.00,800.00,0.337630,117.551,1.150,120
78932,baseline,FILE,4,8000.00,20000.00,0.316192,9.749,1.150,120
78982,baseline,FILE,1,200.00,800.00,0.076736,117.551,1.150,120
79032,baseline,FILE,3,3000.00,8000.00,0.071334,26.532,1.150,120
79066,baseline,FILE,4,8000.00,20000.00,0.118183,9.749,1.150,120
79233,baseline,FILE,1,200.00,800.00,0.096661,117.551,1.150,120
79233,baseline,FILE,3,3000.00,8000.00,0.032459,26.532,1.150,120
79233,baseline,FILE,4,8000.00,20000.00,0.249062,9.749,1.150,120
79549,baseline,FILE,1,200.00,800.00,0.037036,117.551,1.150,120
79815,baseline,FILE,4,8000.00,20000.00,0.107009,9.749,1.150,120
79948,baseline,FILE,4,8000.00,20000.00,0.299853,9.749,1.150,120
80016,baseline,FILE,1,200.00,800.00,0.023868,117.551,1.150,120
80283,baseline,FILE,1,200.00,800.00,0.013516,117.551,1.150,120
80283,baseline,FILE,4,8000.00,20000.00,0.129462,9.749,1.150,120
80500,baseline,FILE,4,8000.00,20000.00,0.064185,9.749,1.150,120
80799,baseline,FILE,4,8000.00,20000.00,0.026886,9.749,1.150,120
